key,zh,ja
已读情报初始化请求已发出。,已读情报初始化请求已发出。,既読情報の初期化を要求しました。
已读文本变色,已读文本变色,既読色変更
已返回相册列表。,已返回相册列表。,アルバム一覧に戻りました。
已选择：%s,已选择：%s,選択：%s
已选择：%s%s,已选择：%s%s,選択：%s%s
已选择：手动存档 001,已选择：手动存档 001,選択中：マニュアルセーブ 001
已锁定 · 点击解锁,已锁定 · 点击解锁,ロック中 · クリックで解除
当前角色音量,当前角色音量,個別音量
快捷键,快捷键,キーコンフィグ
快进全部内容,快进全部内容,すべてをスキップ
快进已读内容,快进已读内容,既読をスキップ
快进文本内容,快进文本内容,テキストをスキップ
快进模式,快进模式,スキップモード
快速,快速,クイック
快速保存,快速保存,クイックセーブ
快速存档 %02d,快速存档 %02d,クイックセーブ %02d
快速存档失败：%s,快速存档失败：%s,クイックセーブに失敗しました：%s
快速读取,快速读取,クイックロード
总音量,总音量,総合音量
总音量设置,总音量设置,音量設定
手动,手动,マニュアル
打开文字设置,打开文字设置,テキスト設定を開く
打开音量设置,打开音量设置,音量設定を開く
播放,播放,再生
播放失败：%s,播放失败：%s,再生に失敗しました：%s
操作失败：%s,操作失败：%s,操作に失敗しました：%s
收藏当前语音,收藏当前语音,現在のボイスをお気に入り登録
效果音效,效果音效,効果音
文本履历,文本履历,テキスト履歴
文本显示速度,文本显示速度,テキスト表示速度
文本框不透明度,文本框不透明度,ウィンドウ濃度
文本记录,文本记录,テキストログ
文本速度,文本速度,テキスト速度
文泉驿点阵宋体,文泉驿点阵宋体,文泉驿点阵宋体
新的开始,新的开始,はじめから
方正书宋,方正书宋,方正书宋
方正仿宋,方正仿宋,方正仿宋
方正楷体,方正楷体,方正楷体
方正黑体,方正黑体,方正黑体
旁白,旁白,地の文
无法加载音乐资源：%s,无法加载音乐资源：%s,音楽リソースを読み込めません：%s
无法启动剧本 %s,无法启动剧本 %s,シナリオ %s を起動できません
无法恢复上一选项,无法恢复上一选项,前の選択肢を復元できません
无法恢复文本履历位置,无法恢复文本履历位置,テキスト履歴の位置を復元できません
日本語,日本語,日本語
春日野 穹,春日野 穹,春日野 穹
是,是,はい
显示剧情线路引导,显示剧情线路引导,ルートガイド表示
显示模式,显示模式,表示モード
显示系统菜单,显示系统菜单,システムメニューを表示
显示语言,显示语言,言語
曲目：%d,曲目：%d,収録曲数：%d
未注册的鉴赏类别,未注册的鉴赏类别,未登録の鑑賞カテゴリ
未解锁,未解锁,未解放
未记录剧情位置,未记录剧情位置,未記録のシーン
未锁定 · 点击锁定,未锁定 · 点击锁定,ロック解除 · クリックでロック
正在播放：%s,正在播放：%s,再生中：%s
正在返回该语音对应的剧情位置。,正在返回该语音对应的剧情位置。,このボイスのシーンへ移動しています。
没有可读取的快速存档,没有可读取的快速存档,読み込み可能なクイックセーブがありません
渚 一叶,渚 一叶,渚 一葉
滚轮 / ↑↓ 浏览　Esc 返回,滚轮 / ↑↓ 浏览　Esc 返回,ホイール / ↑↓ でスクロール　Esc で戻る
环境设定,环境设定,環境設定
环境音,环境音,環境音
瑛,瑛,瑛
画面,画面,画面
目标槽位已锁定，请先解锁。,目标槽位已锁定，请先解锁。,移動先スロットはロックされています。先に解除してください。
相册,相册,アルバム
确定删除%s吗？,确定删除%s吗？,%sを削除しますか？
"确定返回标题吗？
当前进度已写入自动存档。","确定返回标题吗？
当前进度已写入自动存档。","タイトルに戻りますか？
現在の進行状況はオートセーブに記録済みです。"
确认,确认,確認
确认设置保存失败：%s,确认设置保存失败：%s,確認設定の保存に失敗しました：%s
移动,移动,移動
移动存档,移动存档,移動
穹,穹,穹
空存档,空存档,空のセーブデータ
空槽位,空槽位,空きスロット
窗口,窗口,ウィンドウ
窗口大小,窗口大小,ウィンドウサイズ
系统,系统,システム
系统设定,系统设定,システム設定
系统设置,系统设置,システム設定
系统选项,系统选项,システム設定
结束游戏,结束游戏,終了
继续游戏,继续游戏,つづきから
编辑存档文本 · Enter 保存,编辑存档文本 · Enter 保存,セーブテキスト編集 · Enter で保存
缺少视频资源：%s,缺少视频资源：%s,動画リソースがありません：%s
缺少资源：%s,缺少资源：%s,リソースがありません：%s
缺少音乐资源：%s,缺少音乐资源：%s,音楽リソースがありません：%s
背景乐,背景乐,BGM
背景音乐,背景音乐,BGM
自动,自动,オート
自动存档,自动存档,オートセーブ
自动存档：%s,自动存档：%s,オートセーブ：%s
自动模式,自动模式,オートモード
自动模式文本显示速度,自动模式文本显示速度,オート表示速度
自动模式速度,自动模式速度,オートモード速度
要初始化已读情报吗？,要初始化已读情报吗？,既読情報を初期化しますか？
要结束游戏吗？,要结束游戏吗？,終了しますか？
要读取%s吗？,要读取%s吗？,%sを読み込みますか？
覆盖,覆盖,上書き
视频音效,视频音效,ムービー音量
角色名称,角色名称,キャラクター名
角色音量设置,角色音量设置,キャラ音量
设置,设置,設定
设置保存失败：%s,设置保存失败：%s,設定の保存に失敗しました：%s
该收藏没有可跳转的存档。,该收藏没有可跳转的存档。,このお気に入りにはジャンプ先のセーブがありません。
该相册尚未解锁。,该相册尚未解锁。,このアルバムは未解放です。
该类别没有对应的鉴赏页面。,该类别没有对应的鉴赏页面。,このカテゴリに対応する鑑賞ページがありません。
语音,语音,ボイス
语音 %s,语音 %s,ボイス %s
语音收藏失败：%s,语音收藏失败：%s,ボイスのお気に入り登録に失敗しました：%s
语音鉴赏,语音鉴赏,ボイス鑑賞
请选择另一个手动槽位作为目标。,请选择另一个手动槽位作为目标。,移動先には別のマニュアルスロットを選択してください。
请选择条目。,请选择条目。,項目を選択してください。
请选择目标槽位，或点击取消。,请选择目标槽位，或点击取消。,移動先スロットを選択するか、キャンセルしてください。
读取,读取,読込
读取存档,读取存档,ロード
读取此存档,读取此存档,このセーブデータをロード
读档,读档,ロード
跳转存档,跳转存档,セーブへジャンプ
跳转至已读文本,跳转至已读文本,既読テキストへ
跳转至选项,跳转至选项,選択肢へ
跳过影片,跳过影片,ムービーをスキップ
载入剧本中……,载入剧本中……,シナリオを読み込み中……
返回主页,返回主页,ホームへ戻る
返回剧情,返回剧情,ストーリーへ戻る
返回标题,返回标题,タイトル
返回标题菜单,返回标题菜单,タイトルメニューへ戻る
返回游戏,返回游戏,ゲームへ戻る
返回相册,返回相册,アルバムへ戻る
返回鉴赏,返回鉴赏,鑑賞へ戻る
还没有文本履历,还没有文本履历,テキスト履歴はまだありません
选择了《%s》选项。,选择了《%s》选项。,《%s》を選択しました。
选项 %d,选项 %d,選択肢 %d
选项后保持快进,选项后保持快进,選択後もスキップ継続
选项后保持自动播放,选项后保持自动播放,選択後もオート継続
选项确认弹窗,选项确认弹窗,操作確認
道の町、空の向こう,道の町、空の向こう,道の町、空の向こう
道路同天空的交界处,道路同天空的交界处,道の町、空の向こう
重播当前语音,重播当前语音,現在のボイスを再生
鉴赏,鉴赏,鑑賞
鉴赏模式,鉴赏模式,鑑賞モード
锁定,锁定,ロック
锁定系统菜单,锁定系统菜单,システムメニューをロック
隐藏界面,隐藏界面,UIを非表示
音乐,音乐,音楽
音乐播放结束。,音乐播放结束。,音楽の再生が終了しました。
音乐鉴赏,音乐鉴赏,音楽鑑賞
音效,音效,効果音
音频,音频,オーディオ
预览,预览,プレビュー
（空）,（空）,（空）
